,time_date,site,continent_id,buyer_country,buyer_region,buyer_city,distance,buyer_id,mobile,package,channel_id,buying_date,dealing_date,adults,children,room,destination_id,destination_type,dealing,regency_continent,regency_country,regency_market,cnt,regency_cluster
234935,8/21/2013 6:38,34,3,205,354,25315,2075.1176,7005,0,0,9,8/25/2013,8/27/2013,3,2,1,8854,1,0,1,2,198,402,74
323463,11/3/2014 20:22,2,3,66,322,37922,1739.9560000000001,6221,0,1,0,12/17/2014,12/21/2014,1,1,1,8854,1,0,1,2,198,402,74
128504,2/25/2013 17:22,34,3,205,354,43201,2037.2412,9120,0,0,9,6/6/2013,6/7/2013,4,1,1,8854,1,1,1,2,198,402,74
234931,8/20/2013 20:06,34,3,205,354,41495,2071.3626,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,1,2,198,402,74
11465,9/7/2014 19:36,2,3,66,220,1437,8334.5627,995,0,0,3,9/10/2014,9/11/2014,2,0,1,21444,1,1,1,5,203,243,74
218144,7/5/2013 13:48,2,3,66,174,14757,1135.1958,2971,0,0,9,7/14/2013,7/20/2013,4,0,2,8854,1,0,1,2,198,402,74
232667,10/31/2014 9:04,2,3,66,226,43575,2240.2254,6895,0,0,1,3/7/2015,3/14/2015,2,0,1,8854,1,0,2,2,198,402,74
306643,11/2/2014 12:28,34,3,205,354,40193,2069.6074,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,2,2,198,402,74
55072,6/8/2014 6:55,34,3,205,155,8613,60.5826,7389,0,0,9,6/21/2014,6/22/2014,4,0,1,8854,1,0,1,2,198,402,74
73591,12/16/2014 21:02,2,3,66,220,4724,647.4517,2515,0,0,0,3/14/2015,3/16/2015,2,0,1,25321,1,0,1,2,50,191,74
306647,11/2/2014 12:32,34,3,205,354,40193,2069.0059,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
157268,8/17/2014 6:07,2,3,66,363,1990,112.7534,9151,1,0,9,8/21/2014,8/23/2014,1,0,1,25321,1,0,1,2,50,191,74
10765,8/12/2014 10:46,11,3,205,354,49492,8597.8245,7350,0,1,9,12/15/2014,12/17/2014,2,0,1,21222,1,0,1,3,152,73,74
306646,11/2/2014 12:30,34,3,205,354,40193,2069.7348,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,2,2,198,402,74
200157,11/16/2014 21:11,34,3,205,155,14703,58.1033,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,0,1,2,198,402,74
55070,6/8/2014 6:38,34,3,205,155,8613,60.2807,7389,0,0,9,6/21/2014,6/22/2014,6,0,3,8854,1,0,3,2,198,402,74
306648,11/2/2014 12:32,34,3,205,354,40193,2068.9970000000003,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
24498,4/5/2013 13:59,2,3,66,356,7976,336.9208,5822,0,0,9,7/22/2013,7/28/2013,2,0,1,8854,1,0,1,2,198,402,74
311519,12/20/2014 18:05,11,3,205,155,6802,56.2491,975,0,0,1,1/16/2015,1/19/2015,2,1,1,8854,1,0,1,2,198,402,74
306652,11/2/2014 13:48,34,3,205,354,40193,2069.7348,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
234936,8/21/2013 6:39,34,3,205,354,25315,2075.7596,7005,0,0,9,8/25/2013,8/27/2013,3,2,1,8854,1,0,1,2,198,402,74
306653,11/2/2014 13:51,34,3,205,354,40193,2069.7348,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,1,1,2,198,402,74
272992,12/16/2014 11:15,23,1,1,219,42884,4587.5977,983,0,0,5,1/3/2015,1/11/2015,2,1,1,21222,1,0,1,3,152,73,74
311514,12/20/2014 17:34,11,3,205,155,6802,55.6255,975,0,0,1,4/2/2015,4/6/2015,2,1,1,8854,1,1,1,2,198,402,74
221946,5/16/2014 21:39,34,3,205,354,12825,8537.5549,6979,0,0,9,6/16/2014,6/20/2014,2,0,1,21222,1,0,1,3,152,73,74
234940,8/22/2013 12:04,34,3,205,354,25315,2075.8378,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,2,2,198,402,74
234933,8/20/2013 20:09,34,3,205,354,41495,2071.3565,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,1,2,198,402,74
194950,7/18/2013 0:21,23,1,1,376,3395,4940.3653,4823,0,0,5,8/14/2013,8/17/2013,4,0,2,21444,1,0,1,5,203,243,74
323465,11/3/2014 20:23,2,3,66,322,37922,1741.7267,6221,0,1,0,12/17/2014,12/21/2014,1,1,1,8854,1,0,2,2,198,402,74
55079,6/8/2014 7:20,34,3,205,155,8613,60.2807,7389,0,0,9,6/21/2014,6/22/2014,2,2,1,8854,1,0,1,2,198,402,74
55083,6/8/2014 20:03,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,4,2,1,8854,1,0,2,2,198,402,74
194951,7/18/2013 0:22,23,1,1,376,3395,4907.6939,4823,0,1,5,8/22/2013,8/25/2013,4,0,1,21444,1,0,3,5,203,243,74
234947,8/22/2013 13:08,34,3,205,354,25315,2075.8991,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,1,2,198,402,74
272631,2/17/2014 12:18,34,3,205,155,14703,73.0794,859,0,0,1,2/22/2014,2/23/2014,2,0,1,8854,1,0,3,2,198,402,74
163143,7/9/2014 21:27,2,3,66,226,2903,546.2956,7612,0,0,3,8/27/2014,8/28/2014,2,0,1,25321,1,0,1,2,50,914,74
306642,11/2/2014 12:27,34,3,205,354,40193,2069.5822,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
200162,11/28/2014 17:50,34,3,205,155,14703,58.0417,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,1,1,2,198,402,74
234939,8/22/2013 12:04,34,3,205,354,25315,2075.8378,7005,0,0,9,8/26/2013,8/28/2013,3,2,1,8854,1,0,1,2,198,402,74
234944,8/22/2013 13:05,34,3,205,354,25315,2075.9489,7005,0,0,9,8/26/2013,8/28/2013,3,2,1,8854,1,0,1,2,198,402,74
300767,10/17/2013 11:44,34,3,66,189,55926,2434.8063,5346,0,0,9,12/27/2013,12/28/2013,1,0,1,8854,1,0,1,2,198,402,74
232658,10/31/2014 8:35,2,3,66,226,43575,2240.2254,6895,0,0,1,1/9/2015,1/10/2015,2,0,1,8854,1,0,3,2,198,402,74
232663,10/31/2014 9:02,2,3,66,226,43575,2240.2254,6895,0,0,1,2/14/2015,2/21/2015,2,0,1,8854,1,0,1,2,198,402,74
67383,10/25/2014 12:23,11,3,205,155,13951,8564.7461,385,0,1,1,1/26/2015,1/28/2015,2,0,1,21222,1,0,7,3,152,73,74
11479,11/1/2014 17:57,2,3,66,174,14882,9308.0242,1011,0,1,9,12/1/2014,12/3/2014,2,0,1,21222,1,0,1,3,152,73,74
232659,10/31/2014 9:00,2,3,66,226,43575,2240.5596,6895,0,0,1,1/30/2015,2/6/2015,2,0,1,8854,1,0,1,2,198,402,74
232678,11/3/2014 14:20,2,3,66,226,43575,2240.574,6895,0,0,9,2/8/2015,2/16/2015,2,0,1,8854,1,0,1,2,198,402,74
323461,11/3/2014 20:14,2,3,66,322,37922,1741.7267,6221,0,1,0,12/17/2014,12/22/2014,1,1,1,8854,1,0,2,2,198,402,74
306638,11/2/2014 12:25,34,3,205,354,40193,2069.6137,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
194953,7/18/2013 0:23,23,1,1,376,3395,4907.6939,4823,0,1,5,8/22/2013,8/25/2013,4,0,2,21444,1,0,1,5,203,243,74
232662,10/31/2014 9:02,2,3,66,226,43575,2240.2254,6895,0,0,1,2/7/2015,2/14/2015,2,0,1,8854,1,0,1,2,198,402,74
200161,11/28/2014 17:46,34,3,205,155,14703,58.0417,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,0,1,2,198,402,74
222960,10/2/2014 0:38,23,1,1,318,2096,4717.3113,1219,0,1,3,1/31/2015,2/10/2015,2,0,1,21222,1,0,1,3,152,73,74
10778,9/7/2014 20:44,11,3,205,354,49492,8652.7938,7350,0,1,1,12/16/2014,12/22/2014,4,1,2,21222,1,0,1,3,152,73,74
339355,8/1/2013 23:31,8,4,77,824,15015,627.4926,9313,0,0,9,8/3/2013,8/4/2013,3,0,1,43699,1,0,2,0,63,1248,74
232674,11/3/2014 14:06,2,3,66,226,43575,2239.9104,6895,0,0,9,2/8/2015,2/16/2015,2,0,1,8854,1,0,2,2,198,402,74
272633,2/22/2014 13:32,34,3,205,135,36086,385.5614,859,1,0,9,2/22/2014,2/23/2014,2,0,1,8854,1,0,1,2,198,402,74
234930,8/20/2013 19:41,34,3,205,354,41495,2071.2937,7005,0,0,9,8/26/2013,8/28/2013,3,2,1,8854,1,0,1,2,198,402,74
311524,12/20/2014 19:15,11,3,205,155,6802,54.1937,975,0,0,9,3/6/2015,3/8/2015,2,1,1,8854,1,0,1,2,198,402,74
234934,8/21/2013 6:37,34,3,205,354,25315,2075.8408,7005,0,0,9,8/25/2013,8/27/2013,3,2,1,8854,1,0,2,2,198,402,74
221949,5/16/2014 21:44,34,3,205,354,12825,8531.1467,6979,0,0,9,6/16/2014,6/20/2014,2,0,1,21222,1,0,1,3,152,73,74
204719,12/16/2013 19:18,34,3,205,155,53078,64.715,9192,1,0,9,1/4/2014,1/5/2014,4,0,1,8854,1,1,1,2,198,402,74
163144,7/9/2014 21:31,2,3,66,226,2903,539.6551,7612,0,0,3,8/27/2014,8/28/2014,2,0,1,25321,1,0,1,2,50,1290,74
84222,7/8/2014 19:58,24,2,66,462,52482,8630.0267,4311,0,0,9,9/5/2014,9/9/2014,2,0,1,21222,1,0,1,3,152,73,74
194948,7/18/2013 0:20,23,1,1,376,3395,4940.3653,4823,0,0,5,8/22/2013,8/25/2013,4,0,1,21444,1,0,3,5,203,243,74
234945,8/22/2013 13:07,34,3,205,354,25315,2075.8624,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,1,2,198,402,74
234929,8/20/2013 19:41,34,3,205,354,41495,2071.2937,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,2,2,198,402,74
307857,8/9/2014 21:52,34,3,205,343,37594,427.3071,891,1,0,9,8/11/2014,8/14/2014,2,3,2,25828,1,0,1,2,198,1661,74
306644,11/2/2014 12:29,34,3,205,354,40193,2069.5603,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
232664,10/31/2014 9:03,2,3,66,226,43575,2240.2254,6895,0,0,1,2/21/2015,2/28/2015,2,0,1,8854,1,0,1,2,198,402,74
67677,9/25/2013 15:11,2,3,66,363,24200,8851.3209,1121,0,1,9,11/3/2013,11/5/2013,4,0,2,21222,1,0,1,3,152,73,74
55078,6/8/2014 7:15,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,1,2,1,8854,1,0,2,2,198,402,74
55068,6/8/2014 6:33,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,6,0,3,8854,1,0,4,2,198,402,74
232671,11/1/2014 7:23,2,3,66,226,43575,2240.585,6895,0,0,3,4/3/2015,4/12/2015,2,0,1,8854,1,0,1,2,198,402,74
220678,9/25/2014 12:59,34,3,205,135,36086,8535.4172,939,0,1,9,12/4/2014,12/10/2014,2,0,1,21222,1,0,1,3,152,73,74
94099,7/29/2014 16:21,13,1,66,174,13277,2831.1859999999997,5510,0,1,2,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
306639,11/2/2014 12:25,34,3,205,354,40193,2069.6353,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,2,2,198,402,74
291791,10/1/2013 18:51,2,3,66,363,11295,2354.4006,5395,0,0,9,2/10/2014,2/17/2014,2,0,1,8854,1,0,1,2,198,402,74
311517,12/20/2014 17:53,11,3,205,155,6802,56.1021,975,0,0,1,1/16/2015,1/19/2015,2,1,1,8854,1,0,1,2,198,402,74
200160,11/23/2014 19:08,34,3,205,155,14703,58.5877,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,0,1,2,198,402,74
55084,6/8/2014 20:16,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,4,2,2,8854,1,0,1,2,198,402,74
84224,7/8/2014 19:59,24,2,66,462,52482,8640.2412,4311,0,0,9,9/5/2014,9/9/2014,2,0,1,21222,1,0,1,3,152,73,74
128502,2/25/2013 17:21,34,3,205,354,43201,2037.2412,9120,0,0,9,6/6/2013,6/7/2013,2,1,1,8854,1,0,4,2,198,402,74
119890,7/23/2013 17:07,34,3,205,343,37594,295.0652,515,0,0,9,7/24/2013,7/25/2013,2,2,1,26000,1,1,1,2,198,1007,74
67413,12/20/2014 12:56,11,3,205,155,13951,67.2847,385,0,0,1,12/23/2014,12/24/2014,2,0,1,8854,1,0,1,2,198,402,74
218151,7/5/2013 16:42,2,3,66,174,14757,1135.3873,2971,0,0,9,7/17/2013,7/21/2013,4,0,2,8854,1,0,1,2,198,402,74
200156,11/16/2014 21:09,34,3,205,155,14703,58.3758,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,0,1,2,198,402,74
311522,12/20/2014 19:15,11,3,205,155,6802,54.1937,975,0,0,9,2/13/2015,2/15/2015,2,1,1,8854,1,0,1,2,198,402,74
55082,6/8/2014 20:00,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,1,2,1,8854,1,0,2,2,198,402,74
311526,12/20/2014 19:16,11,3,205,155,6802,54.1937,975,0,0,9,4/24/2015,4/30/2015,2,1,1,8854,1,0,1,2,198,402,74
300765,10/17/2013 11:42,34,3,66,189,55926,2435.4219,5346,0,1,9,12/27/2013,12/28/2013,2,0,1,8854,1,0,1,2,198,402,74
232661,10/31/2014 9:02,2,3,66,226,43575,2240.2254,6895,0,0,1,1/30/2015,2/6/2015,2,0,1,8854,1,0,1,2,198,402,74
200159,11/23/2014 19:06,34,3,205,155,14703,58.3758,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,0,1,2,198,402,74
55076,6/8/2014 7:13,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,3,2,1,8854,1,0,3,2,198,402,74
232677,11/3/2014 14:14,2,3,66,226,43575,2239.8475,6895,0,0,9,2/8/2015,2/16/2015,2,0,1,8854,1,0,1,2,198,402,74
204718,12/16/2013 19:09,34,3,205,155,53078,64.715,9192,1,0,9,1/4/2014,1/5/2014,4,0,1,8854,1,0,3,2,198,402,74
306640,11/2/2014 12:27,34,3,205,354,40193,2069.475,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
234941,8/22/2013 12:56,34,3,205,354,25315,2075.4056,7005,0,0,9,8/26/2013,8/28/2013,3,2,1,8854,1,0,1,2,198,402,74
258736,12/15/2014 7:42,2,3,66,258,4687,8958.7772,2548,0,0,3,12/27/2014,1/2/2015,2,0,1,21222,1,0,1,3,152,73,74
94082,7/21/2014 19:50,13,1,63,333,40637,5790.3587,5510,0,1,9,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
300766,10/17/2013 11:43,34,3,66,189,55926,2434.8063,5346,0,0,9,12/27/2013,12/28/2013,3,0,1,8854,1,0,1,2,198,402,74
218145,7/5/2013 13:50,2,3,66,174,14757,1135.3873,2971,0,0,9,7/14/2013,7/20/2013,4,0,2,8854,1,0,1,2,198,402,74
194949,7/18/2013 0:20,23,1,1,376,3395,4940.3653,4823,0,0,5,8/14/2013,8/17/2013,4,0,1,21444,1,0,2,5,203,243,74
94079,7/21/2014 19:43,13,1,63,333,40637,5793.5782,5510,0,1,9,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
291807,12/5/2013 20:29,2,3,66,184,28561,1138.6591,5395,0,0,9,2/14/2014,2/18/2014,2,0,1,8854,1,0,2,2,198,402,74
128503,2/25/2013 17:21,34,3,205,354,43201,2037.2412,9120,0,0,9,6/6/2013,6/7/2013,4,1,1,8854,1,0,1,2,198,402,74
306636,11/2/2014 12:24,34,3,205,354,40193,2069.5738,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
194952,7/18/2013 0:23,23,1,1,376,3395,4907.6939,4823,0,1,5,8/14/2013,8/17/2013,4,0,2,21444,1,0,2,5,203,243,74
55077,6/8/2014 7:14,34,3,205,155,8613,60.5826,7389,0,0,9,6/21/2014,6/22/2014,1,2,1,8854,1,0,1,2,198,402,74
128505,2/25/2013 17:31,34,3,205,354,43201,2037.2412,9120,0,0,9,6/6/2013,6/7/2013,2,1,1,8854,1,1,1,2,198,402,74
24499,4/5/2013 14:06,2,3,66,356,7976,336.9208,5822,0,0,9,7/22/2013,7/28/2013,2,0,1,8854,1,1,1,2,198,402,74
300764,10/17/2013 11:42,34,3,66,189,55926,2434.8115,5346,0,1,9,12/27/2013,12/28/2013,2,0,1,8854,1,0,1,2,198,402,74
218150,7/5/2013 16:29,2,3,66,174,14757,1135.3873,2971,0,0,9,7/15/2013,7/20/2013,4,0,2,8854,1,0,1,2,198,402,74
232665,10/31/2014 9:03,2,3,66,226,43575,2240.2254,6895,0,0,1,2/28/2015,3/7/2015,2,0,1,8854,1,0,2,2,198,402,74
234942,8/22/2013 13:02,34,3,205,354,25315,2075.8378,7005,0,0,9,8/26/2013,8/28/2013,3,2,1,8854,1,0,1,2,198,402,74
234946,8/22/2013 13:07,34,3,205,354,25315,2075.8624,7005,0,0,9,8/26/2013,8/28/2013,3,2,1,8854,1,0,1,2,198,402,74
67414,12/20/2014 13:02,11,3,205,155,13951,67.2847,385,0,0,1,12/23/2014,12/24/2014,2,0,1,8854,1,1,1,2,198,402,74
323464,11/3/2014 20:23,2,3,66,322,37922,1741.6797,6221,0,1,0,12/17/2014,12/21/2014,1,1,1,8854,1,0,1,2,198,402,74
218149,7/5/2013 16:28,2,3,66,174,14757,1135.3873,2971,0,0,9,7/14/2013,7/20/2013,4,0,2,8854,1,0,3,2,198,402,74
306649,11/2/2014 12:33,34,3,205,354,40193,2071.1621,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
232676,11/3/2014 14:11,2,3,66,226,43575,2240.1912,6895,0,0,9,2/8/2015,2/16/2015,2,0,1,8854,1,0,2,2,198,402,74
311525,12/20/2014 19:16,11,3,205,155,6802,54.1937,975,0,0,9,4/24/2015,4/26/2015,2,1,1,8854,1,0,1,2,198,402,74
67678,9/25/2013 15:16,2,3,66,363,24200,8846.7408,1121,0,1,9,11/3/2013,11/5/2013,4,0,2,21222,1,0,1,3,152,73,74
306634,11/2/2014 12:21,34,3,205,354,40193,2069.6572,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
232660,10/31/2014 9:01,2,3,66,226,43575,2240.6894,6895,0,0,1,1/30/2015,2/6/2015,2,0,1,8854,1,0,1,2,198,402,74
306645,11/2/2014 12:29,34,3,205,354,40193,2069.5355,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
163142,7/9/2014 21:15,2,3,66,226,2903,556.039,7612,0,0,3,8/27/2014,8/28/2014,2,0,1,25321,1,0,1,2,50,191,74
300768,10/17/2013 11:44,34,3,66,189,55926,2434.8063,5346,0,0,9,12/27/2013,12/29/2013,1,0,1,8854,1,0,1,2,198,402,74
311515,12/20/2014 17:45,11,3,205,155,6802,55.2654,975,0,0,1,2/6/2015,2/9/2015,2,1,1,8854,1,0,4,2,198,402,74
272632,2/17/2014 12:20,34,3,205,155,14703,73.0794,859,0,0,1,2/22/2014,2/23/2014,2,0,1,8854,1,1,1,2,198,402,74
320327,6/27/2014 17:36,2,3,66,462,49272,188.493,778,0,0,9,6/28/2014,6/29/2014,2,2,1,8854,1,0,1,2,198,402,74
50613,6/11/2014 15:52,2,3,66,448,775,2330.1984,777,0,0,9,7/6/2014,7/15/2014,1,0,1,8854,1,0,2,2,198,402,74
232675,11/3/2014 14:08,2,3,66,226,43575,2240.1492,6895,0,0,9,2/8/2015,2/16/2015,2,0,1,8854,1,0,1,2,198,402,74
218146,7/5/2013 13:51,2,3,66,174,14757,1135.3873,2971,0,0,9,7/17/2013,7/23/2013,4,0,2,8854,1,0,1,2,198,402,74
67384,10/25/2014 12:25,11,3,205,155,13951,8459.7782,385,0,1,1,1/26/2015,1/26/2015,2,0,1,21222,1,0,1,3,152,73,74
55075,6/8/2014 7:03,34,3,205,155,8613,60.5826,7389,0,0,9,6/21/2014,6/22/2014,3,2,1,8854,1,1,1,2,198,402,74
222962,10/2/2014 0:39,23,1,1,318,2096,4723.2187,1219,0,1,3,1/31/2015,2/10/2015,2,0,1,21222,1,0,1,3,152,73,74
55074,6/8/2014 7:00,34,3,205,155,8613,60.5826,7389,0,0,9,6/21/2014,6/22/2014,3,2,1,8854,1,0,1,2,198,402,74
311513,12/20/2014 17:28,11,3,205,155,6802,55.6255,975,0,0,1,4/2/2015,4/6/2015,2,1,1,8854,1,0,3,2,198,402,74
216897,12/1/2014 12:45,2,3,66,348,31258,2197.9826,344,0,0,0,7/17/2015,7/19/2015,2,0,1,8854,1,0,1,2,198,402,74
11464,9/7/2014 19:32,2,3,66,220,1437,8334.5627,995,0,0,3,9/10/2014,9/11/2014,2,0,1,21444,1,0,1,5,203,243,74
306637,11/2/2014 12:24,34,3,205,354,40193,2069.5481,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
232679,11/3/2014 14:22,2,3,66,226,43575,2240.2129,6895,0,0,9,2/8/2015,2/16/2015,2,0,1,8854,1,0,1,2,198,402,74
272634,2/22/2014 13:32,34,3,205,135,36086,385.5614,859,1,0,9,2/28/2014,3/1/2014,2,0,1,8854,1,0,1,2,198,402,74
306650,11/2/2014 12:33,34,3,205,354,40193,2061.4262,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
71350,12/21/2014 7:22,34,3,215,622,49097,2383.8843,6984,0,1,9,1/8/2015,1/12/2015,2,0,1,8854,1,0,2,2,198,402,74
234943,8/22/2013 13:05,34,3,205,354,25315,2075.9489,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,1,2,198,402,74
94080,7/21/2014 19:44,13,1,63,333,40637,5806.0912,5510,0,1,9,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
55073,6/8/2014 6:57,34,3,205,155,8613,60.5826,7389,0,0,9,6/21/2014,6/22/2014,4,0,1,8854,1,1,1,2,198,402,74
107636,4/5/2013 23:38,2,3,66,174,23034,1118.5436,953,1,0,9,8/17/2013,8/26/2013,2,2,1,8854,1,0,1,2,198,402,74
311520,12/20/2014 19:13,11,3,205,155,6802,54.1937,975,0,0,9,1/16/2015,1/19/2015,2,1,1,8854,1,0,2,2,198,402,74
222963,10/2/2014 0:45,23,1,1,318,2096,4714.7426,1219,0,0,3,2/1/2015,2/12/2015,2,0,1,21222,1,0,1,3,152,73,74
311516,12/20/2014 17:50,11,3,205,155,6802,55.2654,975,0,0,1,2/6/2015,2/9/2015,2,1,1,8854,1,1,1,2,198,402,74
55071,6/8/2014 6:47,34,3,205,155,8613,60.5826,7389,0,0,9,6/21/2014,6/22/2014,6,0,3,8854,1,0,1,2,198,402,74
94083,7/21/2014 19:51,13,1,63,333,40637,5815.4418,5510,0,1,9,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
200158,11/16/2014 21:39,34,3,205,155,14703,58.1424,7738,0,0,9,12/14/2014,12/15/2014,2,0,1,8854,1,0,1,2,198,402,74
291808,12/5/2013 20:35,2,3,66,184,28561,1138.6591,5395,0,0,9,2/14/2014,2/18/2014,2,0,1,8854,1,1,1,2,198,402,74
302384,12/9/2014 20:53,2,3,66,174,26232,853.0299,9012,0,0,9,12/24/2014,12/27/2014,2,0,1,8854,1,0,1,2,198,402,74
55069,6/8/2014 6:35,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,6,0,3,8854,1,1,1,2,198,402,74
234932,8/20/2013 20:08,34,3,205,354,41495,2071.2164,7005,0,0,9,8/26/2013,8/28/2013,2,2,1,8854,1,0,1,2,198,402,74
306641,11/2/2014 12:27,34,3,205,354,40193,2069.6068,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
306635,11/2/2014 12:22,34,3,205,354,40193,2069.6283,8948,0,0,9,2/14/2015,2/21/2015,3,0,1,8854,1,0,1,2,198,402,74
232672,11/1/2014 7:24,2,3,66,226,43575,2240.585,6895,0,0,3,2/1/2015,2/8/2015,2,2,1,8854,1,0,1,2,198,402,74
232673,11/1/2014 7:25,2,3,66,226,43575,2240.585,6895,0,0,3,4/3/2015,4/12/2015,2,2,1,8854,1,0,1,2,198,402,74
218148,7/5/2013 16:27,2,3,66,174,14757,1135.5147,2971,0,0,9,7/14/2013,7/20/2013,4,0,2,8854,1,0,2,2,198,402,74
291829,2/5/2014 15:52,2,3,66,363,11295,2354.4006,5395,0,0,9,2/14/2014,2/18/2014,2,0,1,8854,1,0,1,2,198,402,74
232666,10/31/2014 9:03,2,3,66,226,43575,2240.5057,6895,0,0,1,2/28/2015,3/7/2015,2,0,1,8854,1,0,1,2,198,402,74
94081,7/21/2014 19:49,13,1,63,333,40637,5814.5368,5510,0,1,9,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
157656,11/3/2014 14:09,2,3,66,403,36507,383.4894,875,1,0,1,11/14/2014,11/16/2014,1,0,1,5024,3,0,1,2,50,1355,6
